[00:00] 今夜我用尽所有。
[42:44] 但是廉接主义的创始人并非华生是桑代课廉洁和行为呢其实是有一些差别的。但是在咱们教招考试当中呢，区分度不大。哎，所以呢咱们就不太细讲，这个地方考的不多哈。如果遇到题目了，我们可以简单的去看一看。但是概率真的是极低。那这块你主要记代表人物不同就行了哈。
[43:07] 嗯，那最后呢在这个地方我们要记它一个地位，就是它是第一次革命第一势力。什么意思呢？其实它是针对心理学的发展而言的。心理学呢发展并不久远哈，数百年的时间哈，百年时间。那在发展刚开始，人们最先研究心理学是研究啥呢？
[43:30] 是研究意识，就是听起来抽不抽象，有点看不见摸不着的感觉。意识是啥玩意儿啊，有点说不清，道不明白。其实就是你大脑怎么想的，你能知道自己在思考啥都是意识范畴。但这个太抽象了，看不见摸不着。后来在他之后呢，就出现了研究外显行为的行为主义。
[43:53] 哎，就通过实验能看得见了，能用实验精确测量到了。所以行为主义的出现就相当于推翻了前人的研究。你看你们研究那玩意儿啥也不是，看不见摸不着，而且用实验有的都很难以验证。但你看我科学吧。所以因为它较为科学能被验证。
[44:15] 所以他也成为了第一势力，就人员庞大，信徒众多，所以叫第一革命，就推翻研究意识的那帮人，在家人员众多，所以叫低势力，这块可以理解不？嗯，来，我们快速回顾一下哈，关于行为主义咱们涉及到的点哈。所首先行为主义又叫什么主义。
[44:36] 廉洁主义行为主义的代表人物是谁？廉接主义的代表人物是谁？他们都是通过什么来研究什么的，就是研究的方法，来研究具体什么内容。
[44:59] 对，来研究外显行为的哈那同时呢在之前都研究意识。那行为主义的出现，它的地位是什么？双料第一第一事例。嗯，这块是我给大家做的一个嗯讲钱的一个小补充哈。
[45:21] 好，那我们就看在代表人物当中四个人物当中的第一个桑待克。首先桑待课我们快速的去回忆一下哈。桑待克他的作品在哪？我们讲过桑待课第二章关于教育心理学的创建，当时有个口诀，桑老三创教心一生一世本心差，对吧？那这个老三是什么？1903年。
[45:45] 创教心，他写了一本书，标志着教育心理学独立了。那那本书呢叫做什么？那本书就叫做教育心理学，一生一世对应的是啥？13141913到1914年把这本书发展成了三卷本。三卷本呢。
[46:07] 对应的是本心差本这块我不要求你死记硬背，有个印象，人的本性学习心理心差是个别差异哈那这本书的诞生呢嗯里边涉及到的内容是世界上公认的最早的比较科学的心理学专著哈，就是专门研究心理学这个专业领域的内容。
[46:29] 那同时呢在这里边哎它也是咱们的西方的第一本哈，哎标志着我们心理学诞生心理学独立了。嗯，西方第一本它使我们教心独立了哈。当时的独立同学们能想到那个原文吗？说它从儿童心理学普通心理学。
[46:52] 教育学脱离出来，然后独立了，对吧？嗯，好，来继续哈。那在之前呢我们关于桑黛克还有哪个地方讲过，是不是遗忘理论那个部分能想起来吗？咱们第一个嗯记忆痕迹衰退，说也叫自动消退，说代表人物桑黛克巴普罗夫。
[47:15] 和亚里士多德哈，这都是我们之前的考点。好，那这个之前考点回忆完了，我们再看接下来的内容哈。就是在这里边桑黛克他提出了学习理论叫事物说通过猫开龙取事实验提出来的那桑黛克这个人呢嗯是最早用动物进行研究的我之前总用一句话形容他就是人丑多读书的代表人物。
[47:39] 他自己长得不是很好看哈，然后追美女总是追不到。然后呢，这个在爱情上吃了不少苦，所以呢就潜心研究当时的研究呢又有点规避用人哈，因为觉得有很多伦理性的问题，他被逼没招了，所以他选择了用动物研究，所以他是那个最早开创动物心理学的这样的一个人物。
[48:02] 就人家前期没有用动物，它是动物心理学的开创者，而且他要研究是不是有专业的这样的实验室啊。所以呢在这里边它是美国动物心理学实验室的创始人，这是补充它的两个地位哈。前面的地位我们都学过了教心之父。哎，或是鼻祖或奠基人，廉接主义的创始人都学过了。
[48:25] 这两个再补充一下哈。嗯，好了，那这块儿呢我也给大家提供了口诀来记它的地位哈。教心奠击创始父动物啊，就完全跟动物有关的。你听到动物心理学哎，跟它有关动物实验室的创始人。那既然要创实验室，他不可能就一个人在那叭叭研究吧，所以它成为了之一哈，这块能实际下来就可以了。
[48:48] 嗯，好，那我们继续往下看哈。关于它的理论内容要学哪些？我这块给大家做了一个极简的内容，你看完了你就会发现哎呦桑代课东西不多哈，一个实验三个观点，三个观点里边我已经给大家简化出来了，这就是核心要记的内容，还有哪需要展开展开呢，就这儿哎除了这些没啥了哈，再就是两个。
[49:12] 评价的部分，所以他的内容挺少的哈。作为一个老外，其实他这个长相算是不是很好看的了哈，算是不够帅的了哈。嗯，咱们的桑麦克好了，一实验三规律一评价，我们一一来看嗯觉得不丑哈嗯可以。
[49:32] 来可能不符合他们意义当中的传统的帅哥哈。来关于桑代克的实验名称叫猫开龙取食实验。同学们记得哈，也叫恶猫实验。那既然是用笼子做的，也可以叫迷龙实验，还可以叫迷香实验。为什么又可以叫迷香实验呢？就是它是一个翻译的版本。
[49:53] 迷龙迷香箱子笼子没什么区别哈。但是我们一般说迷香的话，说到后面斯金钠会比较多，但是因为这是翻译而来的，所以呢也有人把桑黛克这个地方的实验称之为尼龙。这个你要清楚迷香哈称之为迷香，这个你要清楚。那说一下他这个实验是怎么做的。
[50:15] 首先它这个实验名称叫饿猫，所以猫它是有一个前提条件的。做实验之前，猫是处于什么样的一个状态？对，饿了饥饿的状态？为什么一定要让它处于饥饿状态呀？
[50:37] 如果他今天他不饿，我把它关笼子里，他会怎么样在里边睡大觉，他没有想要觅食的欲望，没有想要觅食的动机。因为饿，所以他才会想要觅食，想要获得食物，有这样的需求，有这样的动机，对吧？哎，所以呢很重要的前提就是他要饿，哎，要有这种饥饿。
[51:01] 那饿了之后呢，就把它关到这个笼子里。那关进笼子之后，他饿呀，他想吃东西，他想把笼子打开，出去吃鱼，那怎么办？一开始他会进行这种盲目尝试，例如哎不断的啃咬笼子，不断的抓抓劲儿，挠挠那儿。但是在偶然的一次情况下。
[51:23] 不小心触碰到了这个杠杆，按压到了杠杆儿，然后笼子就开了，开了之后它就怎么样了？出去获得了外边这个鱼，获得了这个食物，然后他直接就下次就学会开笼子了吗？
[51:44] 并非如此，再次把他关进去，他还会进行盲目的尝试，误打误撞。但是反复尝试之后，你会发现他犯错误的概率越来越小，越来越小。哎，逐渐正确的概率越来越高。最后他学会了按杠杆获得食物。
[52:06] 最后的最后就是一按杠杆就出来了，一按杠杆就出来了哈，就达到了暗杠杆的一个学习，是不是？那在这样的一个学习的过程当中，首先同学们你看一下它是刺激在前还是反应在前，刺激是别人给的食物是不是就是别人给的？
[52:26] 这是刺激反应呢是他积极主动的按杠杆的这样的一个行为。反应是积极主动按杠杆的行为。所以对于桑待克的实验，虽然他强调刺激反应的连接，但实际上是谁在前，谁在后，反应在前，刺激在后哈。
[52:47] 刺激在后，但他说他们之间的连接再说一遍哈，这块说连接，你不要和加涅第二个对比哈，这个分开来记，他没强调谁在前，谁在后，就是一个连接联合在一起的意思哈。那桑代克的实验更多强调反应在前，次激在后哈哎，那这是我们要了解的第一个。
[53:08] 考点你要记住。那第二个考点就是他学习的建立过程是通过什么建立的学习的建立过程就是我怎么学会按杠杆的事物尝试。对，在这个学习的过程当中，也就是建立的过程当中，它是不断的进行了这种盲目的尝试。
[53:31] 那我们给他起了个名称，就叫事物尝试错误的一个过程。所以呢我们桑黛克这个学说就叫事物说强调学习的过程是通过盲目尝试，最后哎获得了刺激反应的连结，达到了一个学习效果的那同时呢根据这样的一个实验。
[53:52] 它又提出了这样的一个练习曲线。大家可以看一下这个曲线是怎么回事哈。首先纵轴呢它对应的是一个时间，什么时间就是猫打开笼子所需时间，逃出笼子所需的时间。而横轴呢，它对应的是尝试的次数。
[54:14] 那同学们有没有发现，随着次数这是零哈，这是24。随着次数越来越多，它所需要的时间从160秒到40秒到20秒，是不是时间越来越少啊？哎，所以这个说的是啥呢？就是一开始他尝试的时间多，因为他不会呀？但随着不断的练错误减少了。
[54:38] 到最后哎是不是所所涉及的这个时间，哎，开笼子的时间就减少了。一进去我饿了，我就打开，饿了，我就打开哈，也就代表他学会了，学明白了。所以它的曲线是这样的一个下降的过程哈，强调用的时间变少了。好了，那通过刚刚整个实验我们就能得出它的一个核心观点。这里边的观点和前面的。
[55:01] 相一致哈。首先第一个就是学习的实质是什么？同学们，你看他最后学习的结果是不是就建立了开笼子按压杠杆获得食物的这个连接啊。所以学习的实质是什么？对，就是形成连接？那同学们这个连接指的是谁和谁的连接。
[55:24] 谁和谁的连接，外界的刺激和反应的连接。那我说了，这里边没有箭头，光说这句话，没有谁在前，谁在后。但是通过它的实验，我们更多认为谁在前，反应在前，刺激在后哈。那第二个连接是怎么建立的？
[55:48] 在这个过程当中，它是怎么建立的？通过事物就是尝试错误，在逐渐减少错误，慢慢建立的对吧？那在此基础上呢，事物主要受什么影响？它提出了三条学习功率，就是我是尝试错误来进行学习的嘛。
[56:09] 那这个尝试错误的过程当中，涉及到了准备率、练习率和效果率三个效率的支配哈那这是我们学习的重点。我们来重点展开。首先第一个准备率准备率呢它指的就是要进入到某个学习活动之前，咱们学习者要做好和我们学习活动相关的一个。
[56:32] 预备性反应也可以叫预备定式。你可以怎么理解呢？就是我提前做好这种心理准备，做好这种预备反应。哎，那这个预备反应呢可以是生理的，也可以是心理的。但是它更多指向的是动机范畴来解释一下哈，就像生理角度怎么理解？像刚刚的猫，它为什么会开笼子。
[56:56] 是不是首先他处于一个饥饿状态，所以他想要逆食，那逆食是不是他的一个开笼子的动机，学习的一个动机？所以虽然是从生理角度解读的，但是它属不属于动机范畴，是不是就属于动机范畴啊？
[57:16] 那同样心理就例如咱们今天哎要上两个半小时，提前跟大家说，告诉大家讲到哪儿，你心里有个准备。然后呢，想要听明白这个课，想要通过听这个课，我可以上岸。那在这里边是不是有心理的准备，那这个心理的预备属不属于动机范畴。我就要听明白他我才能上岸我才能做对题，是不是也属于动机范畴啊。
[57:39] 哎，所以呢在这里边强调准备率，强调的就是一种预备定式哈，就是我提前做好这样的一些准备。哎，或者是有种心理上的一种启动状态。哎，知道接下来要干嘛，做好了一个充足的生理心理双方面的准备。来，那这个地方有个细节考点，同学特别容易错，打起精神，仔细听。
[58:02] 桑代课讲的准备不是学习前的知识准备和成熟方面的准备，而是指学习者在学习开始时的预备定时属于动机范畴，啥意思呢？就是他说桑代课的这个准备不等同于知识准备，或者是成熟。。
[58:26] 他这个准备更多说的是哪个范畴，动机范畴。那我就要反问大家一句话了，它不等同语。那我通过知识的准备和动机的准成熟的准备，能不能激发学习动机。
[58:48] 来听说完我这个逻辑可不可以激发学习动机，那激发了学习动机相应的又可不可以属于准备率的角度，是不是也可以？例如我今天要上课学习行为主义，我是不是提前让同学们做预习？
[59:08] 甚至是我们也可以复习一下跟行为主义有关的知识点，要复习有关的知识点。我做这些动作是干嘛的？是不是都是为了引起你接下来的学习兴趣，为了提高你学习的积极性的。因为你预习过了，所以你就觉得哎我接下来就要学习这个我心里是有准备的。我想把它。
[59:32] 搞明白我有想学的动机，想学的欲望，包括我复习相关点。那这个旧的知识和我们接下来要学的这个新知识有联系啊，那有联系的话，那同学们就会好奇，那到底是怎么联系，怎么区分的。哎，我想把它搞明白，那是不是也会产生相应的学习的欲望。
[59:54] 学习的兴趣。所以不管是复习有关知识，还是进行相应的预习，其实它最后的落脚点都是希望引起学习动机，提高学习积极性的。所以在这个地方出题的时候，同学们要注意了哈。他这句话很容易迷惑大家，导致大家解题错误。
[60:16] 你怎么解题，分开两个角度看？首先从定义层面来解题。定义层面问你桑代克说的这个准备等同于咱们的知识准备，等同于成熟吗？不等同于。
[60:37] 为什么不等同于？其实并不是说知识准备成熟，达不到准备率的效果，只是说桑代克没从这个角度来说，能听明白我的意思吗？并不等于他们达不到准备率的效果，只是说桑代克没从这个角度来说，他强调的角度是动机角度。
[60:57] 是动机范畴认为不管你做的哪些准备，引起了动机才属于准备率。那第二个呢就是例子分析题的角度。那例子分析题你就不需要区分那么多了呀。你管他什么方面的准备，相应的能引起学习动机的都叫准备率。我提前预习相关的知识，我提前复习有关的建立联系。
[61:21] 哎，包括我成熟方面，我做出来的一些心理各方面的准备，只这些相应的都能激发我学习的积极性。例如我身体倍儿爆，然后我认知达标，我预习到了相关知识，那我学习的时候积不积极，我当然积极。但是如果我啥都没达到，记忆也不行，思维也不行，我也没预习过。
[61:43] 你让我学这个东西，我学不明白我积极性怎么会高呢？怎么会有学习的欲望和想法呢？所以他们都是为了引起学习动机，提高学习积极性的角度，所以都可以属于听明白了吗？听明白蝶老师扣个一，生理角度，你看不仔细跟刚刚猫饿了，有逆食的动机，那不就是生理的角度吗？
[62:07] 对吧？哎，所以在这个地方准备率强调的就是什么？就是你不管是生理还是心理的角度，哎，它都是强调引起了你相应的动机的。同样就像你今天没有吃饱饭，你没有吃饱饭呢，你就不想去听课，你不想去学习。但是我吃饱饭了，我就可以更积极的去干别的事儿。
[62:28] 对不对？就是这样的道理，能听明白吗？嗯，好，那同样在这里边，你看他饿了，你给他嗯机会让他去学，他获得了食物，他就开心。但如果他不饿，你把它放进去，他也不爱学。所以准备率强调就是我有准备，然后呢，我学习又满足了。
[62:50] 又满足了有相应的学习活动，那我就会很高兴很满意。但是如果我没有任何的准备呢，我上来就给他活动，他还会高兴吗？就不高兴了。就像我没有相关的学习兴趣，没有相关的预习复习，哎，今天身体状态也不好，你非让我去学习，我痛苦的要死要死的哈。
[63:11] 所以在这个地方我们就强调学习给我们的启示是什么？不能搞突袭。你要要做好准备。同学们，我们今天就7点上课，那你7点前你要做好各种准备啊，你要提前预习，你要上好厕所，吃好饭，然后呢，你可以更积极的去听课，对不对？哎，那这就不算突袭了，大家状态就会比较好了，是不是？嗯。
[63:33] 好了，那这是第一个我们的准备率哈。那第二个练习率是啥呢？是已形成的连接，如果反复重复连接就会增强。如果不重复呢，连接就会减弱。就像我们刚刚猫开笼取势实验。如果它只是一次开笼子，它会那么快就学会吗？不会，它一定是反复开笼子，反复开笼子。
[63:57] 最后才会减少错误的一个过程进行了重复，对吧？那同样你们平时在学习的时候，是不是解题也要反复去练，反复去练，你才能一看到这道题就能快速想到怎么去解题。那这就是应用率，强调常用你这个连结会增强。但如果不常用呢？
[64:19] 哎，连接就会减弱，就忘了怎么做，不会怎么做了。所以练习率其实就是用和不用的关系哈，熟能生巧用和不用，有点用尽废退的意思哈。所以在这里边启示我们是啥？学习过程当中应该如何要用，也就是要不断的重复不断的练习哈哎。
[64:42] 好，那在此基础上呢又提出了效果率。同学们同样应用练习很重要。那我光让你去练，我不告诉你练的对不对，练的好不好，你会不会有疑问？我之前哈去考那个驾驶证的时候，我就去练车？但是练车的过程当中，我就发现了一个很。
[65:02] 痛苦的点，我怎么练教练都不告诉我正确与否，我就越练越懵越练越懵。所以我就急需要反馈，我就去问这个问那个得到了反馈，我进步就特别快哈。所以在这里边我们效果率极为重要，是里边最重要的一个学习定律。因为你光练光有心理准备，但是我不告诉你对错，你是不是也没有办法成功啊。
[65:25] 所以在这里边效果率最重要，而练习率和准备率都从属于它就是没它的存在，它们意义性也不大哈，他们是负率，是从属率哈。那效果率强调的是啥呢？就是我刚刚说的反馈，但是反馈也分为两种情况呀，正的反馈负的反馈，好的反馈不好的反馈，对吧？
[65:46] 那当你练习的时候，我给了你很多好的反馈，你每次练加油你最棒，你真优秀。你这个地方又弄得很好。哎，不管情绪价值还是各种奖励肯定都给你满满当当的那你愿不愿意做，愿意做，然后行为频率提的高高的。
[66:06] 但是如果你一学习我就骂你再学习，我就否定你各种挑你的刺儿，各种批评打压，然后告诉你错误点都是都是哪儿。然后有的时候你就慢慢的更加烦恼了，是不是？那行为频率就会下降。那针对猫开龙取事实验也是如此。他逃出去了，能吃到食物，对他来说，什么是反馈？
[66:28] 食物就是他得到的一个满意的反馈，他就想得到鱼，那他得到了，他下次还会继续做，但他一逃出去没有再逃出去没有，甚至是不是鱼是拖狗屎，他可能也不愿意去做了，对吧？哎，那这强调的是满意率哈，强调的是满意率。哎，使我们的满意结果，行为频例增强，而烦恼率呢烦恼结果行为频率下降。
[66:52] 所以在这个地方的教育启示是啥呢？就是如果让同学们学习，一定要让他们达到自我满意的积极结果，就是有好的方向，好的结果，否则的话他们就不爱学了。哎，防止一无所获哈，管他是各种鼓励还是精神价值的，你都给他上一上。
[67:12] 哎，让他学习更积极，否则的话各种打压痛苦，学习当中也得不到任何成功，他就越来越消极，越来越不愿意学了哈。好了，那以上是我们这三个定律来给大家看一下解题角度哈，准备率、练习率、效果率三个律。首先呢准备率不要忘了，从定义角度。
[67:32] 它一定是属于哪个范畴的动机范畴，但是我预习呀，或者是复习相关知识啊，查甚至在这个地方我就直接跟大家说，我查找相关资料，我这些能不能激发我的学习动机。
[67:53] 我找到了相关资料，我复习了相关旧知识。那我对接下来学习这个新知识，我就特别感兴趣。我觉得哎呀我会很多相关的那对这个我就觉得我能学明白，所以呢他们都能激发学习动机，相应的就可以属于动机范畴哈。所以之前咱们考题有这么考，看一下出题例子。
[68:14] 上课前老师可以做出这种预设性的问题激发学习，也可以让他们进行这样的预习啊，都可以属于哪个律。我们的准备率哈，它强调动机范畴做预备。那第二个练习率呢？练习率考察的就是练步练习强不强化。
[68:34] 巩不巩固，哎，这是他的观点，多用哎，咱们就达到了连接增强，不用就达到了实用连接减弱。那在考察过程当中，你就针对这个出题角度来看题就可以了哈。我们看一下这个题从哪表述的这个角度，同学们读一下这个例子，你给我抓一下关键词。
[68:54] 在讲授勾股定理的时候，要求同学们计算不同类型一个类型练一词，再一个类型，再练一次，不同类型，是不是练了好多次啊？哎，所以练多次，那这对应的就是练习率。那这里边给反馈了吗？是不是光强调练习的角度它并没有进一步的强调得到什么样的结果哈。
[69:17] 那效果率呢它强调的就是反馈满意还是烦恼。你看好成绩，表扬鼓励，那这是不都是相应的反馈。嗯，好，知道它的例子分析角度就可以了哈。来，那我们继续往后哈。那了解了它的连接的建立呢是通过事物。那最后一个就是动物学习和人类学习的关系了。
[69:40] 这个地方就浅单一句话，动物学习怎么样？刚刚都看了，盲目的，咱们那个小猫一直在盲目尝试错误，减少错误，那人也会如此吗？他最早做的一个实验是通过动物做的研究。后来呢他又思考了人经过后来的研究哈，这是最早的研究。
[70:02] 就先用动物做的实验，这是后来的研究。那后来做研究之后，他就发现人不一样，其实不用做研究，我也能发现不一样。你想想你把人关到笼子里，如果他不小心按压到的呃杠杆开了门，他下次还会盲目尝试吗？
[70:22] 就不会了吧，再怎么不长脑子的人，他进去了之后，他也会尝试去开门，尝试了，得到了结果了之后，下次就直接会开了呀，对不对？那还有咱们那个动物猫刚开始尝试错误，后来不小心偶然开了门，再次进去就立马会开了吗？没有它这个错误是减少的过程。
[70:45] 而且一开始是误打误撞的过程，而如果把人放进去人第一件事就会误打误撞吗？又挠又咬吗？人不会人进去可能会先观察环境去思考，然后思考完了，然后尝试尝试到了按到了杠杆，下次就会了，也不会有那么多错误的过程，对吧？所以他认为人的学习是有意识的。
[71:08] 动物学习就没有那么多观念，没有那么多意识，这是他的观点，看明白了吗？这句话一般考什么考判断。嗯，好，来，以上是我们涉及到这几个观点来带着大家快速回顾一下。首先第一个实验是什么实验。。
[71:30] 猫开龙取食，恶猫迷龙迷香哈，学习的实质是什么？能不能记住那两个字最为主要哈形成连接。这个连接指的是什么和什么的连接？
[71:50] 刺激和反应的连接。那这个连接的建立是通过什么进行建立的？想那个实验哈，通过事物就是尝试错误，减少错误。那事物呢又受这三个定律影响。你看准备率是怎么影响它的。我们是不是通过实验知道了，它先让它饥饿，它才会有想尝试的这样的一个动机。
[72:14] 那事物的过程当中，他要反复的去尝试，反复的去练习，它才能打开门。那效果率的角度呢是说它打开了之后获得了食物，他下次才会继续去尝试。如果没有获得食物，它就不会尝试了，对吧？所以在这里边受这三个定律的影响。但这个地方我再跟大家多说一嘴哈。
[72:34] 虽然它这个实验是通过动物做的，我们也说动物的学习是盲目的，但是针对这三条功率、准备率、练习率、效果率是人和动物都共有的，就人也受这三个影响，动物也受哈，你不要因为前面一直在说动物，你就忽视了人也受这三个功率的影响哈。
[72:55] 嗯，那准备率呢它属于预备定式，生理心理的角度属于什么范畴，大家要清楚什么范畴啊，动机范畴生理的准备例如哎饿了有逆食的动机，那我会积极的去打开门学习，然后获得食物哈。那练习率呢？它强调多用还是少用。
[73:18] 会产生哪两个角度？一个是多用连接增强的应用率，一个是少用连接减弱的适用率。哎，强调应用和适用哈。那最后呢效果率它强调反馈，那反馈强调哪两个角度？正的反馈连接增强，负的反馈连接减弱，有满意率和烦恼率哈。里边最重要的是哪一个？
[73:41] 效果率最重要，其他的是它的从属复律，没有它其他的意义性也没那么大了哈。好，那人和动物学习有什么区别呢？动物学习在桑代课这提出它具有什么性盲目性。而人的学习是它后来的研究认为人的学习是具有什么有意识的。
[74:02] 所以同学们其实这个地方我们还可以延伸一下桑代克刚开始的这种早期研究，它是不是忽略了这种认知，是不忽视了人学习的这种目的性。所以它整个实验的过程当中，即使对于这个猫来说，猫真的就一点意识都没有吗？真的就是一点认知都没有吗？
[74:24] 不见得，但是桑代克他实验具有它的局限和片面，他没有考虑到这个方面，对吧？这就是早期研究为什么得到诟病，甚至得到批判的一个原因。就很多理论他站在当时的角度上并不够完善，能明白不？哎，这个要清楚哈。来，那再看他的评价。
[74:45] 首先这个评价更多从好的角度来说的。嗯，这一条咱们的学习理论是教育心理学史上较为完整的学习理论。因为它最早进行研究较为完整哈那因为这个学习理论，它对我们教育心理学独立有促进意义，因为它正式的开创了实验室。
[75:06] 同时用了这样的数据研究，研究出来了科学的内容哈嗯开创了动物学实验室哈，动物心理学实验室。好了，这两个E看到这儿我们就完事了。来做几道题感受一下哈，强化一下你看第一个是不我之前说的从定义角度考察的话。
[75:30] 他直接说准备就是知识和成熟，对吗？不对，他应该属于动机范畴。但这两个是从例子角度分析的。来第二题，上课前做预习。
[75:51] 预习能不能激发学习动机？哎呀，我这个预习了，我特别想学这个地方哪个不明白，哎，我想听课把它搞明白，所以他是有提前做好这种准备，有学习的积极性的那复习和引导呢开始新课前都会进行适当的复习，帮助他回忆已有知识。
[76:12] 你看咱们学新知识，有的时候不就让你用业务知识来理解吗？那这个复习更多指的是复习上次所学复习一些相关。那复习了相关，接下来学这个我更方便理解哈，所以他也是建立了学习的积极性，属于我们的准备率哈。那我们看一下这个相应的出处的角度哈。这个出处，你看他说准备率。
[76:34] 准备工作有两个方面，一身心基础，这个是不就是我们强调的生理层面，是不是就是我们强调的生理层面。那生理层面呢，他说例如你学武术之前身体发育正不正常？四肢关节灵不灵敏？那这些为什么要检查这些，你这些更特别棒，那你学习起来，你会更积极？
[76:57] 你觉得你能学明白，你有学习的欲望和动机，但是你天生身残志坚，乘客人都不行了，腿脚不利索。你说你去学武术吧，我不想学，我不行的，对不对？所以你就没有这个动机，你知道身体状况相应的有动机还是没动机哈。那学习动机方面呢，他又强调可以通过。
[77:19] 引发学习动机的有哪些复习呀，或者是查找有关资料啊，这些都是为了对新教材看产生兴趣的。引发学习积极性的，还是那句话，不管预习还是复习，都是为了提前做好一些准备。然后接下来接受新知识更方便。所以呢我有动机，有积极性哈。好，那这部分可以过了吗？可以过的话，给老师扣个一哈。
[77:42] 定义角度不等同，例子角度可以从这些角度来思考。嗯，来看一下剩下题目的汇总。首先观点实际类第一题评价角度是不是第一个比较完整的呀？学习理论。
[78:03] 还可以加全哈完整的学习理论。第二个人关进笼子里，他思考的会很多哈，第3个和谁一致，动机原理，还是考定义的角度哈。
[78:25] 来例子分析这块考效果率会考的比较多哈。咱们的真题当中第一题为什么选A从哪看出来的？两个字反馈都贴我们脸上了，具体涉及到了表扬涉及到了批评改正，所以这都是反馈选A哈。
[78:48] 来第二题。第二题从哪看出来选C啊？出错是这个人的行为，相应的老师注重引导鼓励，还有让他感受乐趣、感受氛围，这是不都是反馈的一种。
[79:09] 是对他行为结果的一个反馈。所以它对应的是我们的效果率。那不管它错没错，我都给他以好的结果，它是不是连接会增强，学习的信心、积极性会增强啊。哎，更多从满意率的角度哈来第三题。第三题呢这道题之前给大家演示过原例子。
[79:31] 为什么是练习？是不是计算不同类型？所以强调多种练习哈嗯ACCC来继续下面看第四题。这道题越是考试成绩好的学生越愿意学这个成绩好和成绩不好是啥呀？
[79:53] 是不都是给予的反馈的内容啊？所以它对应的应该是哪一个？C刚刚我看有的同学选择了2B练习涉及到的这个学习结果吗？成绩这是练习的结果哈，所以它对应的是反馈的角度。来下一道题。
[80:14] 为什么选A呀？不听耳声，不读口声，这都是干嘛？这都是进行了必不可少的听说的练，重复的练，多次的练涉及到练习的结果问题，给予外界给予啥结果了吗？没有哈，光说它进行练来最后一道题哈，这道题比较容易错。
[80:36] 大家看仔细了哈，做出一些相应的排除。嗯，很多同学选了C哈，来看一下，仔细听哈。桑麦克做这个实验呢，就是让他蒙上双眼，经过3000次练习，毫无结果。为什么3000次练习都毫无结果？
[80:57] 没有反馈。所以他通过这个实验也说明了反馈的重要性，对吧？所以当时他是通过这个实验说明了反馈重要性，说明为什么效果率是最重要的一个定律哈，是通过这个实验得来的那同学们你说反馈可以怎么得来反馈。你告诉我反馈可以怎么得来反馈？
[81:18] 首先他是不是蒙上了双眼，所以如果不蒙双眼的话，他能不能看到行为结果，能不能看到？所以这个反馈如果我不蒙双眼，我自己看能不能获得相应的反馈，我看哎画的不对，画的太长，画的短了，画的歪了。
[81:41] 那还有呢他蒙上双眼了，别人没告诉他呀，别人也没告诉我，所以这个反馈能不能别人说别人给是不是也可以。所以同学们为什么不选4D？因为C更全面呀。B是不知道自己的练习结果就是不知道自己的反馈。
[82:01] 那如果他不蒙双眼，自己能看到反馈。如果别人跟他说，他也能听到反馈，这个就比较全。整个反馈的角度。而4D呢总是未对背视做出评价，他只是强调了这个角度没有强调自己看，你别忽视了，他蒙眼睛，如果不蒙眼睛情况就不一样了。所以C比较全面，D比较片面。
[82:24] 听明白了吗？听明白给老师扣个一。嗯，好了，那整个桑代课的这个部分我们就说完了哈，这是给你们的笔记梳理的部分，我们休息一下，放个歌听哈。
[82:47] 你的名字此刻芳心要怎样才不失。
[83:07] 你慢慢靠近耳边说了句baby，我闻到你的香味最美音乐沉醉。
[83:28] 在这样的夜里，。
[83:50] 的天使抚慰我不安的种子，让这枯萎的生活重发兴趣，爱是最美的情绪，你哄下你的影子那么美，我感觉我的心在动，你慢慢。
[84:14] 哪个写错了，三文鱼怎么能都是C呢？第一题，18年这不强调注重反馈吗？所以第一题是A呀，这个有问题吗？其他同学有问题吗？是我写错了还是他看错了呀？
[84:35] 我这个没写错哈，我没写错，你自己再看一遍哈，你们看我的讲义，别看你们的书，给我看清楚哈，不要冤枉我哈。
[84:57] 靠近耳边说了句baby，我闻到你的香味。
[85:17] 在这样的夜里，咖来救我。
[85:38] 转身的一瞬间，你心甘着占离我世界，心跳已融化音感觉。
[85:59] 你快来救救我，。
[86:23] 进入了音乐里，沉在这样。
[86:45] 。
[87:06] 。
[87:28] 在这个世界里寻找着。
[87:51] 你在躲避什么？？
[88:12] 你想去谁呢？。
[88:33] 将你删掉，所以你不危。
[88:57] 两手紧紧抓着，如同。
[89:21] 能不能彻底拉开你的手。
[89:44] 就让我来重现的痛。
[90:05] and just that探戈.
[90:26] 要cus me to my你也曾经追。
[90:48] 每一次泪弱眼泪没有。
[91:09] 做的无聊的人生。
[91:29] 坠入黑暗中，坠入泥土中的海阔天空。
[91:51] 只有奄奄一息过那个真正的我才能够。
[92:15] 好了，同学们，我们继续回来。那接下来呢是我们的巴甫洛夫的狗的部分哈，来看一下关于这块巴甫洛夫呢这个人其实是脾气挺暴躁的一个小老头哈。。
[92:36] 就是他本来是一个生物学家，大家都听过反射反射弧吧，它本来就是生物学的研究，就像我们的西跳反射，唉，动物有的神经系统的反射。那他是研究生物的，他觉得这玩意儿才是真的科学，可是心理学家就非要把它归到心理学的范畴。
